outcome,policy,h,theta_A,P_A,lo,hi,se_theta_A,ci_theta_lo,ci_theta_hi,im_lo,im_hi,lam_star
ip,1,1,0.545376400472669,0.6691729323308271,-1.0439631606293651,1.2004326396561917,0.20897791527275714,0.4311416159262813,1.0420306670602353,-1.5769758833359662,1.4878528183910895,1.6485241196105678
ip,1,2,0.7147512291430145,0.6691729323308271,-1.459862974923114,1.4026087283621793,0.2796237917245167,0.5007453886561831,1.3379397890683924,-2.201295991666827,1.7701317403614905,2.16049803354593
ip,1,3,0.6744017507954481,0.6691729323308271,-1.7094637031983488,1.590609716919631,0.3829900377725843,0.31873695179157524,1.4760242748146013,-2.515677461261966,2.0739042466604474,2.038532564904423
ip,1,4,1.1798875235983328,0.6691729323308271,-1.783152585316636,2.180367384228109,0.4939322338018434,0.7875775864544732,2.293309978070173,-2.808203047844301,2.747778740948908,3.5664781963313246
ip,1,5,1.1221545581541505,0.6691729323308271,-2.570634892245083,2.407901137515178,0.509672999332581,0.6520951316145258,2.2275471272167944,-3.8248631034449465,3.0657182695472422,3.3919671871477735
ip,1,6,1.3584844889763634,0.6691729323308271,-2.934962065888846,2.8024937555571228,0.6066124940582117,0.7836249539381415,2.6667960910305895,-4.397436816896169,3.564663924445698,4.106328114405826
ip,1,7,1.5255431042186407,0.6691729323308271,-3.014438116723366,3.1490499640006955,0.7021784904322923,0.822819831041846,3.091032303992046,-4.574480909288555,4.013239799200205,4.611300746842709
ip,1,8,1.844214091712729,0.6691729323308271,-3.2886417287857688,3.5752691850534912,0.8374922018476896,1.051391639971957,3.7191048447527204,-5.0741491158697265,4.557666750154551,5.574556231768022
ip,1,9,1.8228625356922605,0.6691729323308271,-3.6640274529272703,3.7892576218879634,0.9580172776661845,0.7966346024892843,3.9142344849866424,-5.59413002692949,4.899387833915199,5.510016301069788
ip,1,10,2.239765239908519,0.6691729323308271,-3.7790816882591365,4.307345716459548,1.140999500611922,1.0689735609520494,4.7353948773227845,-5.928147848052869,5.55874750784448,6.770199475178024
ip,1,11,2.1453067985279017,0.6691729323308271,-4.083974756808758,4.333232070521192,1.1598512703672628,0.9061918724895595,4.652004991972625,-6.280309200586893,5.645856277356452,6.484677368277522
ip,1,12,1.8742553837709985,0.6691729323308271,-4.487018619074853,4.201422957210983,1.10795401329702,0.6219509066841997,4.213001604204782,-6.682013319483669,5.529347341416361,5.665362864580518
ip,1,13,1.73886190848226,0.6691729323308271,-4.7570335023992705,4.277053999916216,1.1207104023123435,0.42665638853567955,4.112486144499353,-6.972558385677221,5.6731120702138575,5.256105314275922
ip,1,14,1.3474543476306426,0.6691729323308271,-5.361607942242498,4.083515965460079,1.0511756536427554,0.04784638559468668,3.470211680229412,-7.602295210706843,5.50462830798695,4.072987005338079
ip,1,15,0.7510563146566791,0.6691729323308271,-5.887326177976246,3.8529627162219207,1.1351053230197032,-0.9018206258951622,2.8473365322328066,-8.145320159060125,5.4106234918642695,2.27023840566678
ip,1,16,0.9929522040585357,0.6691729323308271,-5.896670424237699,4.07437874661609,1.0956961726129995,-0.47026038244000956,3.1810890922449397,-8.18968260448296,5.62269117635958,3.001423707722392
ip,1,17,0.677274897872326,0.6691729323308271,-6.295450003668185,3.8731870456530633,0.9924385652208306,-0.7115654406952143,2.550198775245244,-8.560155186689883,5.423097425904237,2.0472173049322584
ip,1,18,1.1086072328628043,0.6691729323308271,-6.1569287286548136,4.285920093945337,1.1813930982270544,-0.390403242616578,3.543398336781345,-8.549948135139925,5.9309909344925344,3.351017317517113
ip,1,19,1.020710261774319,0.6691729323308271,-6.326107821604419,4.342100697414023,1.1926537741953034,-0.5269949564182927,3.5376944347917316,-8.73171120893783,6.041905475168026,3.0853287458178276
ip,1,20,0.6060142587553138,0.6691729323308271,-6.631532374917216,4.163012221141782,1.1824535784136083,-0.9889711527727567,3.0380503312166236,-8.967710142347526,5.9235287058927195,1.8318158276012895
ip,1,21,0.46686651207453905,0.6691729323308271,-6.895771877521063,4.211239363618682,1.2026630981918778,-1.1458377682971097,2.905510442438851,-9.269273398358047,6.039656088450363,1.4112101387707658
ip,1,22,0.4834034312983573,0.6691729323308271,-6.924719960804138,4.340216571542632,1.2171026348853902,-1.15153844737105,3.0058103129424083,-9.301883824524078,6.209121516648635,1.4611967355154891
